datetime,road_name,traffic_volume,average_speed,temperature,weather,is_workday
2023-05-01 00:00:00,Oak Rd,551.0,32.991570144637365,,Rainy,True
2023-05-01 00:30:00,River Blvd,438.0,45.38038363924917,25.907114990031687,Sunny,True
2023-05-01 01:00:00,Park Ave,537.0,40.46035810112665,21.948651837554948,Rainy,True
2023-05-01 01:30:00,River Blvd,483.0,32.705098892385934,33.52992285690579,Sunny,True
2023-05-01 02:00:00,River Blvd,610.0,26.63018719524161,24.584223155247514,Rainy,False
2023-05-01 02:30:00,Broadway,368.0,42.30072683145453,27.519833639474392,Cloudy,True
2023-05-01 03:00:00,Park Ave,487.0,44.64072406428892,22.75493230662007,Cloudy,True
2023-05-01 03:30:00,Park Ave,,38.42153443788683,23.479252593028228,Rainy,True
2023-05-01 04:00:00,Park Ave,516.0,32.258750310484785,26.712770266893877,Cloudy,True
2023-05-01 04:30:00,River Blvd,653.0,35.16785909417152,,Rainy,False
2023-05-01 05:00:00,Oak Rd,487.0,29.037709007465025,28.72500370132306,Rainy,True
2023-05-01 05:30:00,Park Ave,574.0,47.361028732976656,18.844163289740035,Sunny,False
2023-05-01 06:00:00,River Blvd,485.0,18.406689150441494,29.406371302215348,Cloudy,True
2023-05-01 06:30:00,Broadway,,49.517248450020624,23.658115512185173,Cloudy,True
2023-05-01 07:00:00,Oak Rd,575.0,39.24062362829216,35.30358764460482,Cloudy,True
2023-05-01 07:30:00,Broadway,466.0,45.21641411730274,29.914469613178056,Rainy,True
2023-05-01 08:00:00,Oak Rd,459.0,46.197561240663596,29.93956505442645,Sunny,True
2023-05-01 08:30:00,River Blvd,548.0,41.172918679642514,25.724594015513965,Cloudy,True
2023-05-01 09:00:00,Main St,434.0,36.099708133421515,30.047869949843797,Rainy,True
2023-05-01 09:30:00,Oak Rd,519.0,,28.800357108722316,Cloudy,True
2023-05-01 10:00:00,Broadway,464.0,22.846807311509718,15.316062618522352,Sunny,True
2023-05-01 10:30:00,River Blvd,536.0,53.0179276664542,20.64564256902701,Rainy,False
2023-05-01 11:00:00,Oak Rd,483.0,28.766746125833834,20.348511581469918,Rainy,True
2023-05-01 11:30:00,Main St,430.0,36.74392113826065,21.11119704504001,Rainy,True
2023-05-01 12:00:00,Main St,610.0,54.313126129013696,23.715668202598174,Rainy,True
2023-05-01 12:30:00,Park Ave,523.0,62.29464642912334,27.5826922987774,Sunny,False
2023-05-01 13:00:00,Park Ave,494.0,41.81971091878857,30.87414255258863,Rainy,True
2023-05-01 13:30:00,Broadway,541.0,26.453945658417478,28.02978672913642,Rainy,False
2023-05-01 14:00:00,Oak Rd,332.0,48.53924422028682,31.20437908972476,Rainy,False
2023-05-01 14:30:00,Oak Rd,709.0,39.609707237504935,19.71838958064383,Sunny,True
2023-05-01 15:00:00,Park Ave,502.0,29.37963333724514,22.481406023328468,Cloudy,True
2023-05-01 15:30:00,Oak Rd,303.0,42.19170213690433,23.69819580292186,Cloudy,True
2023-05-01 16:00:00,Oak Rd,619.0,26.90260498011054,21.663078267227117,Sunny,True
2023-05-01 16:30:00,Main St,424.0,41.95047080552218,19.38705208468547,Sunny,True
2023-05-01 17:00:00,Park Ave,604.0,30.797564891758533,,Rainy,True
2023-05-01 17:30:00,River Blvd,512.0,20.3201256124261,21.483960622741712,Sunny,False
2023-05-01 18:00:00,Park Ave,342.0,23.382760523661755,29.03405897109764,Cloudy,True
2023-05-01 18:30:00,River Blvd,526.0,33.92402485695646,18.887871104548218,Cloudy,True
2023-05-01 19:00:00,Main St,518.0,45.018679368358924,29.31820851920185,Cloudy,False
2023-05-01 19:30:00,Broadway,615.0,52.54069335623554,26.074360900838233,Sunny,True
2023-05-01 20:00:00,Oak Rd,552.0,,26.075641162485766,Sunny,True
2023-05-01 20:30:00,Main St,376.0,24.88002686891649,26.219380914670072,Rainy,False
2023-05-01 21:00:00,Oak Rd,600.0,37.754683622319426,,Rainy,True
