living_area,bedrooms,bathrooms,house_age,distance_to_station,distance_to_school,distance_to_hospital,distance_to_mall,air_quality_score,crime_rate,avg_household_income,parking_spaces,has_pool,has_security,house_type,common_fee,elevation,distance_to_river,public_transport_index,house_price
218.5430534813131,3,2,11.52753245351834,6.436327975500353,1.101330765918942,2.5603666507452,0.28785327632174607,60.844262632363105,9.835858623025954,87022.03900816677,1,1,1,1,4926.799632231536,28.793036288935404,4.24796640982289,28.639445677697573,76.84189324574892
477.8214378844623,3,1,23.490428144145053,2.7095373158010725,2.5366207459047625,5.707697877283733,2.8908551707456254,48.421495334523115,9.317829278663236,115700.77648626931,2,0,0,1,2335.430873403972,14.951837300359811,3.7863309694497693,93.54334827707885,131.80576115329055
379.3972738151323,4,4,28.04782497485731,1.2325370813805903,0.34124652842623837,4.060268855363046,5.129968432893846,35.50556859778319,8.240669418589878,123345.46935712089,3,1,1,1,4749.926700608918,47.444785726048934,4.116300653591784,75.83719884044673,114.7918683287426
319.3963178886665,3,2,7.130002691484521,1.4972556414619032,4.617033031591974,5.351989416904034,3.093686411375674,49.421808180499035,9.493972080493336,59753.972381443185,1,1,1,0,7179.928279715894,27.902160917047027,9.585644560972815,77.9517572160392,91.61134222223828
120.20838819909643,5,2,27.835931286658266,7.826629268961081,1.4723376057863213,0.8874921801254221,5.306077626305161,82.8070508439059,1.5476896652318466,51785.844278278855,1,1,0,2,3114.7651726879767,18.573486938769417,5.004213627895204,38.468804696444,48.09743267046094
120.1975341512912,3,3,15.962835262394842,5.88110053312958,4.432321740919311,4.150783000928793,3.5658659883786505,72.71767043302617,6.6834356002519835,64624.08567459753,3,0,1,2,6340.026676785446,36.75100424538304,8.66373371449843,30.04691223776417,53.09156760192489
76.13762547568976,5,2,19.622594243425397,3.8075829071818337,2.488100326623235,3.137756428097763,2.095990036888664,77.14979459226075,3.473166668525227,140418.67012473542,1,0,1,1,1532.3410051394426,17.046012174817882,7.537641738634726,96.35839853750267,65.12832358202965
439.7792655987208,3,4,13.965906453164061,3.3290084618688,4.250752488553203,3.6147965346696607,1.4203864090747285,76.40605296603343,7.890328578813301,45494.45240843249,1,0,0,2,2780.461660743796,1.2353079260672528,16.61992383747831,47.703391060449924,112.77519697609621
320.50175528444396,5,3,46.570516389652994,8.557580044005302,1.2353222039482226,7.729666663553891,2.947723067475846,37.198345033888565,1.8614496200442243,144371.41897105216,2,0,1,1,8839.279100875674,0.41303722220925043,4.381197373616155,38.75563546374445,99.94689682049676
368.63266000822045,3,3,34.166814064010694,8.74762523781461,0.8763530112137652,1.0903112386951381,0.2506241619975462,39.5316339634698,3.328479718773721,149377.5127169367,1,0,1,2,6266.223678176775,15.098481132910695,6.121932101224794,90.2731325603988,113.27357838240252
59.263022433111104,3,3,13.12301557003417,5.812620384192929,4.247059016174141,6.037601411291186,2.957807334988851,49.03435493004132,8.652268401424081,124013.3172341585,3,0,0,1,858.3950574674304,7.799202427118123,19.04764705054501,57.0672499561296,52.33540301166965
486.45943347289744,2,1,32.251566727597506,5.245440656650363,1.0646194118585544,2.642742353386251,0.4803406773523703,48.06172672007473,7.745022387751539,121250.705626903,3,0,1,1,2646.3681920415393,17.623162409165438,4.8926758451025805,72.33237198799422,131.97854271447656
424.59918836018977,5,3,42.42862047910231,8.164480420765715,3.7309767464979005,2.3228639009900984,6.139032954185591,33.964862295343906,9.928198243190646,144394.38367207945,3,0,1,2,9939.61214280656,38.48303286836974,15.937914499925409,41.30085094291821,121.87535961259721
145.55259980522428,5,2,20.08151041663843,7.4933517979437525,1.722918973298162,2.1662191671941224,4.028367222932587,39.208290574152414,6.795851956046508,64864.23954475657,0,1,0,1,2701.048519525465,15.452527768666101,2.831520317005096,97.52991184200417,52.469218850237
131.82123524319528,5,1,41.497875457809116,4.003251833277885,3.740968632175807,2.7902524257831276,4.522300740511818,81.37381701400678,3.727676914260062,45477.86468205515,2,1,1,2,5805.089593350374,27.982367792869837,11.734424141275394,57.92170549228239,46.91243371371686
132.53202943404523,1,1,7.7207472169996185,0.82738684750857,4.538231329941651,2.8569364767488485,2.0220479331052723,65.34269027890221,5.930951900842947,128772.04499549283,1,0,0,0,5503.473083524119,45.982282754921506,1.8397065941039248,53.94829442055611,70.79703966832615
